Platform,Space,Data Point,MCL UI,MCL API,Brandwatch
Facebook,Public Profiles,Video Duration,Only available for video posts.,Only available for video posts.,Y
Facebook,Public Profiles,Is Live Video,Only applicable to live video content.,Only applicable to live video content.,N
Facebook,Public Profiles,Is Crossposted,Only shown for crossposted videos.,Only shown for crossposted videos.,N
Facebook,Public Profiles,Thumbnail URL,Shown for videos and links.,Shown for videos and links.,Y
Facebook,Public Profiles,Caption,Applies to video content; shown in UI and API.,Applies to video content; shown in UI and API.,Y
Facebook,Public Profiles,Hashtags,Parsed from post text if present.,Parsed from post text if present.,Y
Facebook,Public Profiles,Mentions,Shown when post includes mentions.,Shown when post includes mentions.,Y
Facebook,Public Profiles,Page Verification Status,Only for Pages; shown in UI.,Only for Pages; shown in UI.,N
Facebook,Public Profiles,Post Status,Not visible in UI; available via API for partners.,Not visible in UI; available via API for partners.,N
Facebook,Public Groups,Post ID,Always available via API and UI.,Always available via API and UI.,Y
Facebook,Public Groups,Page/Profile/Group ID,Always available via API and UI.,Always available via API and UI.,Y
Facebook,Public Groups,Permalink/Canonical URL,Available via UI and API when post is public.,Available via UI and API when post is public.,Y
Facebook,Public Groups,Media Type,Available when post includes media.,Available when post includes media.,Y
Facebook,Public Groups,Post Type,"Visible when post is categorized (e.g., shared link, status).","Visible when post is categorized (e.g., shared link, status).",Y
Facebook,Public Groups,Branded Content Sponsor,Available only if post is branded content.,Available only if post is branded content.,N
Facebook,Public Groups,Timestamp (Exact),Included in API and visible in UI.,Included in API and visible in UI.,Y
Facebook,Public Groups,Edit History / Last Updated Time,May be visible in UI; limited API access.,May be visible in UI; limited API access.,N
Facebook,Public Groups,Engagement Breakdown,Available only via API for reactions breakdown.,Available only via API for reactions breakdown.,Y
Facebook,Public Groups,Platform Source,"Shown for some posts (e.g., mobile/web).","Shown for some posts (e.g., mobile/web).",Y
Facebook,Public Groups,Video Duration,Only available for video posts.,Only available for video posts.,Y
Facebook,Public Groups,Is Live Video,Only applicable to live video content.,Only applicable to live video content.,N
Facebook,Public Groups,Is Crossposted,Only shown for crossposted videos.,Only shown for crossposted videos.,N
Facebook,Public Groups,Thumbnail URL,Shown for videos and links.,Shown for videos and links.,Y
Facebook,Public Groups,Caption,Applies to video content; shown in UI and API.,Applies to video content; shown in UI and API.,Y
Facebook,Public Groups,Hashtags,Parsed from post text if present.,Parsed from post text if present.,Y
Facebook,Public Groups,Mentions,Shown when post includes mentions.,Shown when post includes mentions.,Y
Facebook,Public Groups,Page Verification Status,Only for Pages; shown in UI.,Only for Pages; shown in UI.,N
Facebook,Public Groups,Post Status,Not visible in UI; available via API for partners.,Not visible in UI; available via API for partners.,N
Instagram,Business/Creator Account,Post ID,Always available via API and UI.,Always available via API and UI.,Y
Instagram,Business/Creator Account,Page/Profile/Group ID,Always available via API and UI.,Always available via API and UI.,Y
Instagram,Business/Creator Account,Permalink/Canonical URL,Available via UI and API when post is public.,Available via UI and API when post is public.,Y
Instagram,Business/Creator Account,Media Type,Available when post includes media.,Available when post includes media.,Y
